ms_1,ms_2,time_ns,is_same
site__doi-org-10-5382-econgeo-4950__wellgreen__usc,site__api-cdr-land-v1-docs-documents__0265105a94cebbcddb217d9fc0b57d893909f2ee69e9b2ae87ffcedd18b5ee88a2__sri,1749205291348616000,0
site__doi-org-10-5382-econgeo-4950__wellgreen__usc,site__api-cdr-land-v1-docs-documents__0282b946e493ba753f42d7d95ce326c831a2766b552910dd33d4486aaddb69ecea__inferlink,1749205291348616000,0
site__doi-org-10-5382-econgeo-4950__wellgreen__usc,site__api-cdr-land-v1-docs-documents__0282b946e493ba753f42d7d95ce326c831a2766b552910dd33d4486aaddb69ecea__sri,1749205291348616000,0
site__doi-org-10-5382-econgeo-4950__wellgreen__usc,site__api-cdr-land-v1-docs-documents__02d9b24e989c69826b6887ac3bb6c183eb09fff59d73dfd769f8e5042e3afa59fe__inferlink,1749205291348616000,0
site__doi-org-10-5382-econgeo-4950__wellgreen__usc,site__api-cdr-land-v1-docs-documents__02d9b24e989c69826b6887ac3bb6c183eb09fff59d73dfd769f8e5042e3afa59fe__sri,1749205291348616000,0
site__doi-org-10-5382-econgeo-4950__wellgreen__usc,site__mrdata-usgs-gov-mrds__10142987__sri,1749205291348616000,0
site__doi-org-10-5382-econgeo-4950__wellgreen__usc,site__mrdata-usgs-gov-mrds__10142987__umn,1749205291348616000,0
site__mrdata-usgs-gov-mrds__10142987__sri,site__doi-org-10-5382-econgeo-2018-4590__wellgreen-693__usc,1749205291348616000,0
site__mrdata-usgs-gov-mrds__10142987__sri,site__doi-org-10-5382-econgeo-4950__wellgreen__usc,1749205291348616000,0
site__mrdata-usgs-gov-mrds__10142987__umn,site__doi-org-10-5382-econgeo-2018-4590__wellgreen-693__usc,1749205291348616000,0
site__mrdata-usgs-gov-mrds__10142987__umn,site__doi-org-10-5382-econgeo-4950__wellgreen__usc,1749205291348616000,0
site__doi-org-10-5382-econgeo-4950__wellgreen__bvu,site__doi-org-10-5382-econgeo-2018-4590__wellgreen-693__usc,1749205329035874000,1
site__doi-org-10-5382-econgeo-4950__wellgreen__bvu,site__doi-org-10-5382-econgeo-4950__wellgreen__usc,1749205329035874000,1
